timestamp,video_id,viewCount,likeCount,commentCount
2025-06-27T12:22:50.751117,KB6W-BDBL5s,182783,4426,511
2025-06-27T12:25:50.158085,KB6W-BDBL5s,183639,4436,514
2025-06-27T12:26:00.300914,KB6W-BDBL5s,183639,4437,514
2025-06-27T12:26:10.443650,KB6W-BDBL5s,183639,4437,514
2025-06-27T13:50:43.792629,KB6W-BDBL5s,198905,4617,533
2025-06-27T13:50:53.961519,KB6W-BDBL5s,198905,4617,533
2025-06-27T13:51:04.104662,KB6W-BDBL5s,198905,4618,533
2025-06-27T13:51:14.246048,KB6W-BDBL5s,198905,4619,533
2025-06-27T13:51:24.389308,KB6W-BDBL5s,198905,4619,533
2025-06-27T13:51:34.529430,KB6W-BDBL5s,198905,4619,533
2025-06-27T13:51:44.685722,KB6W-BDBL5s,198905,4619,533
2025-06-27T13:51:54.824665,KB6W-BDBL5s,198905,4619,533
2025-06-27T13:52:04.988582,KB6W-BDBL5s,198905,4619,533
2025-06-27T13:52:15.159919,KB6W-BDBL5s,198905,4619,533
2025-06-27T13:52:25.314894,KB6W-BDBL5s,198905,4619,533
2025-06-27T13:52:35.659794,KB6W-BDBL5s,198905,4619,533
2025-06-27T13:52:45.807864,KB6W-BDBL5s,199907,4620,533
2025-06-27T13:52:55.951135,KB6W-BDBL5s,199907,4620,533
2025-06-27T13:53:06.077233,KB6W-BDBL5s,199907,4620,533
2025-06-27T13:53:16.190934,KB6W-BDBL5s,199907,4621,533
2025-06-27T13:53:26.332301,KB6W-BDBL5s,199907,4622,533
2025-06-27T13:53:36.485360,KB6W-BDBL5s,199907,4622,533
2025-06-27T13:53:46.644442,KB6W-BDBL5s,199907,4622,533
2025-06-27T13:53:56.795803,KB6W-BDBL5s,199907,4622,533
2025-06-27T13:54:06.936276,KB6W-BDBL5s,199907,4622,533
2025-06-27T13:54:17.079644,KB6W-BDBL5s,199907,4622,533
2025-06-27T13:54:27.236560,KB6W-BDBL5s,199907,4623,533
2025-06-27T13:54:37.390275,KB6W-BDBL5s,199907,4624,533
2025-06-27T13:54:47.525267,KB6W-BDBL5s,199907,4624,533
2025-06-27T13:54:57.667493,KB6W-BDBL5s,199907,4624,533
2025-06-27T13:55:07.818492,KB6W-BDBL5s,199907,4625,533
2025-06-27T13:55:17.949618,KB6W-BDBL5s,199907,4626,533
2025-06-27T13:55:28.091580,KB6W-BDBL5s,199907,4627,533
2025-06-27T13:55:38.216983,KB6W-BDBL5s,199907,4627,533
2025-06-27T13:55:48.363084,KB6W-BDBL5s,199907,4627,533
2025-06-27T13:55:58.485199,KB6W-BDBL5s,199907,4627,533
2025-06-27T13:56:08.640653,KB6W-BDBL5s,199907,4627,533
2025-06-27T13:56:18.793573,KB6W-BDBL5s,199907,4627,533
2025-06-27T13:56:28.956870,KB6W-BDBL5s,199907,4627,533
2025-06-27T13:56:39.079930,KB6W-BDBL5s,199907,4627,533
2025-06-27T13:56:49.221979,KB6W-BDBL5s,199907,4627,534
2025-06-27T13:56:59.352947,KB6W-BDBL5s,199907,4627,534
2025-06-27T13:57:09.493071,KB6W-BDBL5s,199907,4627,534
2025-06-27T13:57:19.625864,KB6W-BDBL5s,199907,4627,534
2025-06-27T13:57:29.761956,KB6W-BDBL5s,199907,4627,534
2025-06-27T13:57:39.985120,KB6W-BDBL5s,199907,4627,534
2025-06-27T13:57:50.108209,KB6W-BDBL5s,200890,4627,534
2025-06-27T13:58:00.230685,KB6W-BDBL5s,200890,4628,534
2025-06-27T13:58:10.368161,KB6W-BDBL5s,200890,4628,534
2025-06-27T13:58:20.483153,KB6W-BDBL5s,200890,4628,534
2025-06-27T13:58:30.603267,KB6W-BDBL5s,200890,4628,534
2025-06-27T13:58:40.773951,KB6W-BDBL5s,200890,4628,534
2025-06-27T13:58:50.921483,KB6W-BDBL5s,200890,4628,534
2025-06-27T13:59:01.066934,KB6W-BDBL5s,200890,4628,534
2025-06-27T13:59:11.209565,KB6W-BDBL5s,200890,4628,534
2025-06-27T13:59:21.364658,KB6W-BDBL5s,200890,4628,534
2025-06-27T13:59:31.488050,KB6W-BDBL5s,200890,4628,534
2025-06-27T13:59:41.613855,KB6W-BDBL5s,200890,4628,534
2025-06-27T13:59:52.250322,KB6W-BDBL5s,200890,4628,534
2025-06-27T14:00:02.409574,KB6W-BDBL5s,200890,4629,534
2025-06-27T14:00:12.554909,KB6W-BDBL5s,200890,4629,534
2025-06-27T14:00:22.697677,KB6W-BDBL5s,200890,4629,534
2025-06-27T14:00:32.852681,KB6W-BDBL5s,200890,4629,534
